"gene_symbol","t"
"PDGFB",-1.24721197486795
"STXBP5-AS1",-1.24773973603056
"GCNT2",-1.24774315167908
"CATSPERE",-1.24871220931289
"ERMP1",-1.24907101711267
"OR2A1-AS1",-1.24907397124814
"SERPINB9",-1.24944648749368
"IFRD2",-1.25009361010948
"RAB21",-1.25045851225554
"LOC286437",-1.25046684421294
"LOC105373552",-1.25051649454336
"LOC107984655",-1.25091661730328
"LOC105371709",-1.25108062835008
"WWC3",-1.25144163943268
"LOC102724865",-1.25323829633914
"HAGLR",-1.25333065440457
"HFE",-1.25464814307773
"CASKIN1",-1.25476532290606
"MIR548AR",-1.25618983193754
"LAMA3",-1.25663305341246
"ELL",-1.25671976365327
"ZNF142",-1.2570372909357
"LOC107984406",-1.26065734069835
"HSCB",-1.26086406436076
"SLC39A10",-1.26091699070472
"CDKN2C",-1.26193555148801
"LINC01963",-1.26279095860697
"ACKR3",-1.26328306703089
"EPOR",-1.26340032721977
"SBDS",-1.26402209564807
"ZNF233",-1.26457373568883
"PARGP1",-1.26545628032722
"SMARCB1",-1.26658568367775
"WASHC2A",-1.26660173075491
"LINC01504",-1.26675717568908
"ADAT1",-1.26775671147312
"RMND5A",-1.26844787400789
"TIRAP-AS1",-1.26850243924478
"PSMC5",-1.27012877135911
"LOC107984242",-1.27099524516278
"NSL1",-1.27168788880553
"H2BC4",-1.27222647374266
"RBMX",-1.27226613009685
"ANGEL2",-1.27256296161989
